CustomerID,Age,Income,CreditScore,AccountTier
CUST_0001,56,34388,451,Silver
CUST_0002,69,25569,526,Silver
CUST_0003,46,89836,581,Silver
CUST_0004,32,124573,539,Silver
CUST_0005,60,65002,794,Gold
CUST_0006,25,157326,799,Platinum
CUST_0007,38,157162,712,Platinum
CUST_0008,56,44071,800,Gold
CUST_0009,36,78243,557,Gold
CUST_0010,40,145827,523,Gold
CUST_0011,28,128215,488,Silver
CUST_0012,28,121570,846,Platinum
CUST_0013,41,89724,608,Gold
CUST_0014,70,135359,520,Gold
CUST_0015,53,95697,761,Silver
CUST_0016,57,48732,690,Silver
CUST_0017,41,141465,747,Silver
CUST_0018,20,77108,485,Platinum
CUST_0019,39,131195,533,Gold
CUST_0020,70,123081,823,Silver
CUST_0021,19,56668,712,Platinum
CUST_0022,41,43061,759,Silver
CUST_0023,61,99252,834,Silver
CUST_0024,47,59749,621,Silver
CUST_0025,55,150560,825,Gold
CUST_0026,19,124680,622,Platinum
CUST_0027,38,71745,811,Silver
CUST_0028,50,128464,496,Platinum
CUST_0029,29,111865,828,Silver
CUST_0030,39,132428,590,Platinum
CUST_0031,61,43624,824,Gold
CUST_0032,42,43321,567,Platinum
CUST_0033,66,42574,726,Silver
CUST_0034,44,156312,663,Platinum
CUST_0035,59,138831,669,Gold
CUST_0036,45,155504,842,Silver
CUST_0037,33,115257,475,Platinum
CUST_0038,32,84291,458,Silver
CUST_0039,64,147600,720,Platinum
CUST_0040,68,70428,459,Silver
CUST_0041,61,151374,827,Gold
CUST_0042,72,151127,570,Gold
CUST_0043,69,131317,574,Silver
CUST_0044,74,159789,619,Silver
CUST_0045,20,147449,521,Silver
CUST_0046,54,48699,601,Silver
CUST_0047,68,93686,657,Silver
CUST_0048,24,87661,498,Gold
CUST_0049,38,64247,603,Silver
CUST_0050,26,125113,796,Silver
CUST_0051,56,24621,742,Gold
CUST_0052,35,156198,517,Silver
CUST_0053,21,156194,499,Platinum
CUST_0054,42,38030,601,Platinum
CUST_0055,31,102838,468,Gold
CUST_0056,67,104717,549,Gold
CUST_0057,26,58638,509,Platinum
CUST_0058,43,87067,616,Silver
CUST_0059,70,138033,651,Silver
CUST_0060,19,125977,794,Silver
CUST_0061,37,108869,595,Gold
CUST_0062,45,125186,613,Silver
CUST_0063,64,54674,691,Gold
CUST_0064,24,66271,518,Platinum
CUST_0065,61,93688,624,Platinum
CUST_0066,25,131076,498,Gold
CUST_0067,64,21062,557,Silver
CUST_0068,52,70448,675,Platinum
CUST_0069,31,115462,610,Gold
CUST_0070,34,157301,568,Silver
CUST_0071,53,67915,598,Silver
CUST_0072,67,24632,599,Platinum
CUST_0073,57,124592,742,Gold
CUST_0074,21,154668,592,Platinum
CUST_0075,19,129779,609,Platinum
CUST_0076,23,157240,460,Gold
CUST_0077,71,128099,587,Gold
CUST_0078,59,27561,527,Silver
CUST_0079,21,102152,526,Silver
CUST_0080,71,145036,703,Silver
CUST_0081,46,144049,707,Gold
CUST_0082,35,46734,769,Gold
CUST_0083,43,157443,740,Platinum
CUST_0084,61,46069,712,Silver
CUST_0085,51,32910,534,Gold
CUST_0086,27,93479,595,Gold
CUST_0087,53,101264,772,Gold
CUST_0088,31,43275,491,Gold
CUST_0089,48,92274,823,Silver
CUST_0090,65,120776,574,Gold
CUST_0091,32,68447,616,Silver
CUST_0092,25,146394,690,Silver
CUST_0093,31,95703,729,Silver
CUST_0094,40,96090,637,Gold
CUST_0095,74,37260,751,Platinum
CUST_0096,57,132581,468,Gold
CUST_0097,38,23812,517,Gold
CUST_0098,33,136148,667,Gold
CUST_0099,62,136421,551,Gold
CUST_0100,35,21605,491,Silver
