LoanID,CustomerID,LoanAmount,InterestRate,TermMonths,CurrentStatus
LN_0001,CUST_0363,57600,9.74,36,Late
LN_0002,CUST_0238,16800,10.09,60,Current
LN_0003,CUST_0420,54200,7.68,36,Current
LN_0004,CUST_0795,32600,16.37,24,Current
LN_0005,CUST_0763,37400,6.48,24,Current
LN_0006,CUST_0373,8300,12.32,60,Defaulted
LN_0007,CUST_0536,49600,15.58,24,Defaulted
LN_0008,CUST_0429,51200,12.55,36,Defaulted
LN_0009,CUST_0883,45700,9.25,36,Late
LN_0010,CUST_0703,19000,15.16,48,Current
LN_0011,CUST_0555,50800,11.49,60,Current
LN_0012,CUST_0497,9800,7.12,24,Current
LN_0013,CUST_0585,45300,9.12,60,Current
LN_0014,CUST_0897,43900,12.7,24,Late
LN_0015,CUST_0415,9000,13.56,48,Current
LN_0016,CUST_0095,32100,12.13,36,Current
LN_0017,CUST_0544,31200,8.54,36,Current
LN_0018,CUST_0616,31100,12.72,12,Current
LN_0019,CUST_0011,28000,9.32,60,Late
LN_0020,CUST_0723,50000,7.92,24,Late
LN_0021,CUST_0857,36500,17.29,12,Defaulted
LN_0022,CUST_0127,36100,9.09,60,Late
LN_0023,CUST_0635,24600,9.36,24,Defaulted
LN_0024,CUST_0483,35900,16.66,48,Current
LN_0025,CUST_0517,22800,6.86,60,Current
LN_0026,CUST_0527,12500,12.6,24,Current
LN_0027,CUST_0440,58900,15.19,36,Current
LN_0028,CUST_0727,22600,8.56,60,Current
LN_0029,CUST_0296,23700,15.97,24,Current
LN_0030,CUST_0426,20500,15.01,36,Current
LN_0031,CUST_0383,30600,11.32,36,Defaulted
LN_0032,CUST_0552,51100,6.54,12,Defaulted
LN_0033,CUST_0192,49900,17.61,24,Current
LN_0034,CUST_0161,24300,13.11,12,Current
LN_0035,CUST_0249,55400,11.72,12,Current
LN_0036,CUST_0908,51700,16.51,48,Current
LN_0037,CUST_0371,46500,10.48,12,Current
LN_0038,CUST_0313,22900,12.33,12,Current
LN_0039,CUST_0080,46800,16.16,48,Current
LN_0040,CUST_0507,33500,10.11,48,Current
LN_0041,CUST_0335,51300,15.04,60,Defaulted
LN_0042,CUST_0477,37100,8.33,12,Current
LN_0043,CUST_0741,27000,14.13,36,Current
LN_0044,CUST_0948,11300,11.64,48,Current
LN_0045,CUST_0734,54300,7.14,24,Current
LN_0046,CUST_0112,55400,6.77,60,Current
LN_0047,CUST_0817,46600,10.95,60,Late
LN_0048,CUST_0821,19700,14.24,12,Current
LN_0049,CUST_0939,34200,12.84,36,Current
LN_0050,CUST_0991,19300,16.11,48,Current
LN_0051,CUST_0747,34000,10.07,24,Current
LN_0052,CUST_0148,58400,15.97,12,Current
LN_0053,CUST_0675,12500,5.48,36,Late
LN_0054,CUST_0691,57600,9.76,12,Late
LN_0055,CUST_0460,16500,5.95,12,Current
LN_0056,CUST_0029,22700,16.95,60,Current
LN_0057,CUST_0697,56500,11.18,24,Current
LN_0058,CUST_0926,38000,9.11,24,Late
LN_0059,CUST_0018,17900,11.4,24,Current
LN_0060,CUST_0194,16000,11.93,24,Current
LN_0061,CUST_0609,49000,16.0,48,Current
LN_0062,CUST_0091,43400,12.05,48,Late
LN_0063,CUST_0606,24000,10.61,24,Defaulted
LN_0064,CUST_0410,18100,17.5,36,Late
LN_0065,CUST_0772,30600,17.59,48,Current
LN_0066,CUST_0999,19200,5.5,48,Late
LN_0067,CUST_0142,6000,14.19,36,Current
LN_0068,CUST_0241,55700,9.83,24,Current
LN_0069,CUST_0174,30800,13.78,12,Current
LN_0070,CUST_0222,6800,13.28,48,Defaulted
LN_0071,CUST_0449,55900,9.29,12,Current
LN_0072,CUST_0639,49900,17.83,12,Current
LN_0073,CUST_0293,53500,9.64,36,Current
LN_0074,CUST_0057,15400,13.22,24,Late
LN_0075,CUST_0297,17500,15.57,12,Current
LN_0076,CUST_0995,16400,6.89,24,Current
LN_0077,CUST_0943,9000,8.91,60,Current
LN_0078,CUST_0059,51900,7.59,24,Late
LN_0079,CUST_0328,47000,15.16,36,Current
LN_0080,CUST_0366,19600,15.42,36,Current
LN_0081,CUST_0914,53000,8.33,60,Current
LN_0082,CUST_0284,20800,5.05,36,Current
LN_0083,CUST_0305,12400,10.5,24,Late
LN_0084,CUST_0643,27500,13.93,24,Current
LN_0085,CUST_0855,25200,13.09,24,Current
LN_0086,CUST_0017,55000,10.79,36,Current
LN_0087,CUST_0648,40500,8.93,24,Late
LN_0088,CUST_0343,57600,11.17,48,Current
LN_0089,CUST_0752,24200,5.2,60,Defaulted
LN_0090,CUST_0983,58800,5.96,48,Current
LN_0091,CUST_0402,30100,7.11,24,Current
LN_0092,CUST_0058,15100,13.13,36,Late
LN_0093,CUST_0515,48300,7.84,60,Current
LN_0094,CUST_0023,30200,10.5,48,Current
LN_0095,CUST_0450,40500,13.08,24,Current
LN_0096,CUST_0877,37600,15.8,36,Late
LN_0097,CUST_0757,6500,12.15,24,Current
LN_0098,CUST_0628,46900,7.3,48,Defaulted
LN_0099,CUST_0665,31200,17.37,48,Current
LN_0100,CUST_0484,5700,6.17,60,Current
LN_0101,CUST_0131,30200,9.77,36,Defaulted
LN_0102,CUST_0617,25900,16.98,12,Late
LN_0103,CUST_0055,51700,12.83,24,Defaulted
LN_0104,CUST_0706,26100,13.61,36,Current
LN_0105,CUST_0824,56400,8.92,12,Late
LN_0106,CUST_0445,49700,6.02,36,Current
LN_0107,CUST_0713,37900,9.75,24,Current
LN_0108,CUST_0099,6100,10.23,24,Late
LN_0109,CUST_0922,18500,8.51,60,Current
LN_0110,CUST_0269,15700,7.8,48,Late
LN_0111,CUST_0774,25200,9.62,48,Late
LN_0112,CUST_0025,46400,13.31,48,Current
LN_0113,CUST_0427,10300,17.34,60,Current
LN_0114,CUST_0434,38300,14.15,48,Current
LN_0115,CUST_0834,54800,15.13,36,Current
LN_0116,CUST_0002,47600,8.98,48,Current
LN_0117,CUST_0572,40500,6.36,48,Defaulted
LN_0118,CUST_0728,13500,8.79,24,Defaulted
LN_0119,CUST_0742,20600,10.23,60,Current
LN_0120,CUST_0345,28900,13.97,60,Defaulted
LN_0121,CUST_0153,36100,17.21,48,Current
LN_0122,CUST_0503,59100,15.52,12,Current
LN_0123,CUST_0562,47800,8.46,24,Current
LN_0124,CUST_0278,49700,15.66,48,Late
LN_0125,CUST_0554,39300,10.35,12,Current
LN_0126,CUST_0344,29600,7.28,36,Current
LN_0127,CUST_0374,59400,11.0,24,Current
LN_0128,CUST_0448,5400,12.32,60,Defaulted
LN_0129,CUST_0205,53400,14.92,12,Current
LN_0130,CUST_0289,46300,9.55,48,Late
LN_0131,CUST_0589,10700,6.91,12,Late
LN_0132,CUST_0372,43000,6.23,60,Defaulted
LN_0133,CUST_0200,6900,6.46,36,Current
LN_0134,CUST_0290,58800,17.35,12,Current
LN_0135,CUST_0509,48000,17.37,48,Current
LN_0136,CUST_0920,32500,17.59,12,Current
LN_0137,CUST_0513,35100,8.93,36,Current
LN_0138,CUST_0004,49300,7.49,12,Late
LN_0139,CUST_0054,21700,17.75,36,Current
LN_0140,CUST_0770,5800,17.85,36,Defaulted
LN_0141,CUST_0244,26900,6.02,24,Current
LN_0142,CUST_0209,55100,14.78,24,Current
LN_0143,CUST_0876,34000,8.75,48,Current
LN_0144,CUST_0295,6600,16.82,48,Defaulted
LN_0145,CUST_0905,32100,6.16,48,Defaulted
LN_0146,CUST_0864,57600,16.55,36,Current
LN_0147,CUST_0421,49300,5.03,36,Current
LN_0148,CUST_0944,33100,11.79,24,Current
LN_0149,CUST_0223,12000,9.36,36,Current
LN_0150,CUST_0212,23800,10.56,24,Current
LN_0151,CUST_0529,37900,10.64,12,Current
LN_0152,CUST_0618,58600,13.5,48,Current
LN_0153,CUST_0425,14100,5.3,48,Current
LN_0154,CUST_0962,12100,13.99,60,Current
LN_0155,CUST_0065,24700,5.29,24,Current
LN_0156,CUST_0711,24900,7.41,60,Current
LN_0157,CUST_0474,5300,12.89,48,Current
LN_0158,CUST_0998,38100,6.12,60,Defaulted
LN_0159,CUST_0121,51400,17.88,12,Current
LN_0160,CUST_0126,42200,15.2,60,Current
LN_0161,CUST_0358,23500,14.17,12,Current
LN_0162,CUST_0172,50500,8.48,48,Late
LN_0163,CUST_0398,21000,5.63,36,Current
LN_0164,CUST_0048,27100,17.72,24,Current
LN_0165,CUST_0467,50400,6.92,60,Current
LN_0166,CUST_0900,48400,15.8,12,Late
LN_0167,CUST_0143,59600,7.57,48,Current
LN_0168,CUST_0190,17200,9.86,48,Current
LN_0169,CUST_0263,51000,14.02,36,Late
LN_0170,CUST_0302,18400,17.29,48,Current
LN_0171,CUST_0761,49200,5.26,48,Current
LN_0172,CUST_0731,17100,8.39,36,Current
LN_0173,CUST_0823,17500,14.94,48,Current
LN_0174,CUST_0432,44700,7.25,12,Current
LN_0175,CUST_0967,7400,6.45,60,Current
LN_0176,CUST_0520,32600,5.6,60,Late
LN_0177,CUST_0791,50600,11.53,12,Late
LN_0178,CUST_0953,20300,14.98,60,Current
LN_0179,CUST_0540,6600,17.5,48,Current
LN_0180,CUST_0452,41500,8.48,60,Defaulted
LN_0181,CUST_0163,32000,6.58,60,Current
LN_0182,CUST_0001,42000,10.23,48,Current
LN_0183,CUST_0210,50500,5.72,60,Late
LN_0184,CUST_0026,17200,9.31,48,Late
LN_0185,CUST_0218,17900,13.36,36,Late
LN_0186,CUST_0485,15400,7.19,36,Current
LN_0187,CUST_0385,13800,13.21,60,Current
LN_0188,CUST_0430,8500,17.64,36,Current
LN_0189,CUST_0167,53400,16.23,60,Current
LN_0190,CUST_0227,47300,9.64,36,Current
LN_0191,CUST_0753,52300,10.48,60,Defaulted
LN_0192,CUST_0062,31300,10.45,24,Defaulted
LN_0193,CUST_0156,56700,16.18,12,Late
LN_0194,CUST_0789,29000,17.92,36,Current
LN_0195,CUST_0531,38000,15.74,48,Late
LN_0196,CUST_0693,19800,12.26,12,Current
LN_0197,CUST_0526,6000,6.27,60,Late
LN_0198,CUST_0395,11600,17.41,12,Current
LN_0199,CUST_0715,56400,16.18,48,Current
LN_0200,CUST_0264,58200,15.94,48,Late
LN_0201,CUST_0032,33200,10.09,60,Defaulted
LN_0202,CUST_0286,31300,10.81,36,Current
LN_0203,CUST_0733,21400,6.56,36,Current
LN_0204,CUST_0839,29700,17.19,24,Current
LN_0205,CUST_0801,39600,17.26,48,Late
LN_0206,CUST_0140,49800,8.31,24,Current
LN_0207,CUST_0034,25100,14.05,48,Late
LN_0208,CUST_0951,39800,7.65,24,Current
LN_0209,CUST_0629,51200,10.11,36,Current
LN_0210,CUST_0724,45200,8.93,48,Current
LN_0211,CUST_0828,10800,10.06,36,Current
LN_0212,CUST_0417,31000,9.02,12,Current
LN_0213,CUST_0463,38000,9.49,36,Defaulted
LN_0214,CUST_0136,41000,15.28,48,Current
LN_0215,CUST_0211,38100,8.9,12,Late
LN_0216,CUST_0958,40000,15.59,24,Late
LN_0217,CUST_0245,25400,12.38,60,Late
LN_0218,CUST_0831,29800,15.15,48,Current
LN_0219,CUST_0009,22200,16.95,60,Current
LN_0220,CUST_0766,52400,6.8,60,Current
LN_0221,CUST_0145,14100,9.47,12,Current
LN_0222,CUST_0086,31800,5.72,24,Current
LN_0223,CUST_0632,9200,10.29,36,Current
